iso_639_3,script,language_code,language_name,character,unicode_category,unicode_name,total_frequency_all_time,time_periods_with_data_count,time_periods_list,year_2013_frequency,year_2014_frequency,year_2015_frequency,year_2016_frequency,year_2017_frequency,year_2018_frequency,year_2019_frequency,year_2020_frequency,year_2021_frequency,year_2022_frequency,year_2023_frequency,year_2024_frequency
mkd,Cyrl,mkd_Cyrl,Macedonian, ,Zs,SPACE,1366365901,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2365855,4742897,3935981,17837405,84589478,109403194,147100120,191863443,252314267,219983687,236161457,96068117
mkd,Cyrl,mkd_Cyrl,Macedonian,а,Ll,CYRILLIC SMALL LETTER A,938272049,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1505765,3124199,2593918,12339594,58045700,75492244,101377891,131842967,172957753,150489295,161937749,66564974
mkd,Cyrl,mkd_Cyrl,Macedonian,о,Ll,CYRILLIC SMALL LETTER O,731409894,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1185027,2461382,2067310,9470780,44963492,59068767,79382411,103499970,135266648,117001431,125661173,51381503
mkd,Cyrl,mkd_Cyrl,Macedonian,и,Ll,CYRILLIC SMALL LETTER I,647527071,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1051529,2171015,1872021,8674484,40013463,51970633,69337023,90725850,119292581,103692994,112346293,46379185
mkd,Cyrl,mkd_Cyrl,Macedonian,е,Ll,CYRILLIC SMALL LETTER IE,643177362,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",1051435,2128508,1764644,8351616,39434239,51444481,69461936,90966220,119185852,103365850,110805411,45217170
mkd,Cyrl,mkd_Cyrl,Macedonian,т,Ll,CYRILLIC SMALL LETTER TE,501556413,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",803833,1669822,1400979,6578009,31007245,40412621,54097407,70650941,92552292,80356009,86534058,35493197
mkd,Cyrl,mkd_Cyrl,Macedonian,н,Ll,CYRILLIC SMALL LETTER EN,479477632,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",770051,1623505,1358077,6360081,29634092,38756417,51829708,67275449,88379045,76616524,82672162,34202521
mkd,Cyrl,mkd_Cyrl,Macedonian,р,Ll,CYRILLIC SMALL LETTER ER,346514634,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",547622,1155471,1009314,4663507,21427896,28082577,37279940,48684535,63747609,55651817,59707316,24557030
mkd,Cyrl,mkd_Cyrl,Macedonian,с,Ll,CYRILLIC SMALL LETTER ES,311065893,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",502783,1058112,876155,4081707,19169267,25086195,33830108,44271944,57335684,49664323,53373633,21815982
mkd,Cyrl,mkd_Cyrl,Macedonian,в,Ll,CYRILLIC SMALL LETTER VE,293389013,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",477641,983835,827340,3847580,18023077,23551439,31618678,41446695,54289911,46937642,50612474,20772701
mkd,Cyrl,mkd_Cyrl,Macedonian,д,Ll,CYRILLIC SMALL LETTER DE,273838902,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",441923,899025,756387,3625029,16911549,21974574,29504247,38780121,50789288,44043236,46926355,19187168
mkd,Cyrl,mkd_Cyrl,Macedonian,к,Ll,CYRILLIC SMALL LETTER KA,252657736,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",409318,863291,722286,3359639,15830636,20518720,27444446,35325075,46310449,40444894,43467569,17961413
mkd,Cyrl,mkd_Cyrl,Macedonian,л,Ll,CYRILLIC SMALL LETTER EL,198687068,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",319355,693622,597739,2611094,12103642,15846109,21575211,28065008,36503953,31870055,34336042,14165238
mkd,Cyrl,mkd_Cyrl,Macedonian,п,Ll,CYRILLIC SMALL LETTER PE,185879904,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",289890,613307,513226,2444242,11426096,15034665,20112993,26151625,34423967,29772431,31988049,13109413
mkd,Cyrl,mkd_Cyrl,Macedonian,м,Ll,CYRILLIC SMALL LETTER EM,159072399,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",275582,531838,433335,1998943,9852734,12833388,17255547,22524255,29494325,25420000,27408817,11043635
mkd,Cyrl,mkd_Cyrl,Macedonian,у,Ll,CYRILLIC SMALL LETTER U,146155229,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",244998,503707,438313,1942091,9035680,11796178,15741496,20418107,26838822,23498711,25381934,10315192
mkd,Cyrl,mkd_Cyrl,Macedonian,з,Ll,CYRILLIC SMALL LETTER ZE,125168262,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",194246,397399,340410,1609561,7563162,9850163,13232577,17517983,23081855,20096466,22098714,9185726
mkd,Cyrl,mkd_Cyrl,Macedonian,ј,Ll,CYRILLIC SMALL LETTER JE,113034737,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",184964,389612,330900,1540195,7148966,9243309,12243662,15886489,20949451,18025234,19244387,7847568
mkd,Cyrl,mkd_Cyrl,Macedonian,г,Ll,CYRILLIC SMALL LETTER GHE,105293760,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",176341,362846,304330,1362316,6506624,8475263,11432060,14683547,19480926,17070567,18122380,7316560
mkd,Cyrl,mkd_Cyrl,Macedonian,б,Ll,CYRILLIC SMALL LETTER BE,96851362,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",160163,322681,265220,1272702,5947571,7714948,10477935,13681766,17773614,15536013,16833954,6864795
mkd,Cyrl,mkd_Cyrl,Macedonian,",",Po,COMMA,82371981,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",142532,278892,234095,1009350,4842923,6460329,8914781,11697305,15388878,13356629,14248762,5797505
mkd,Cyrl,mkd_Cyrl,Macedonian,.,Po,FULL STOP,74654789,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",147188,297640,239532,986274,4684831,6131448,8253787,10790899,13688183,11849365,12622603,4963039
mkd,Cyrl,mkd_Cyrl,Macedonian,ш,Ll,CYRILLIC SMALL LETTER SHA,62921496,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",106740,205694,157610,780892,3870062,4982277,6693173,8817188,11685430,10180258,10943729,4498443
mkd,Cyrl,mkd_Cyrl,Macedonian,ч,Ll,CYRILLIC SMALL LETTER CHE,58591889,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",94177,197404,163547,720777,3432498,4555380,6231538,8204450,10851040,9548758,10286772,4305548
mkd,Cyrl,mkd_Cyrl,Macedonian,ц,Ll,CYRILLIC SMALL LETTER TSE,56366032,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",85356,178468,152349,756598,3421874,4497367,5998994,7864288,10632280,8993273,9729402,4055783
mkd,Cyrl,mkd_Cyrl,Macedonian,ж,Ll,CYRILLIC SMALL LETTER ZHE,37996109,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",61696,123776,104774,459224,2222044,2969187,4077235,5343622,6971310,6157779,6728131,2777331
mkd,Cyrl,mkd_Cyrl,Macedonian,њ,Ll,CYRILLIC SMALL LETTER NJE,27873435,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",43591,89042,76833,336793,1543275,2088890,2870690,3754979,5112176,4588100,5257587,2111479
mkd,Cyrl,mkd_Cyrl,Macedonian,ќ,Ll,CYRILLIC SMALL LETTER KJE,23396746,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38606,71100,55576,305868,1425854,1849515,2486546,3283887,4430002,3770687,4082564,1596541
mkd,Cyrl,mkd_Cyrl,Macedonian,ф,Ll,CYRILLIC SMALL LETTER EF,22704923,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",36511,74617,66941,292970,1382421,1889219,2523940,3158388,4129786,3618962,3924097,1607071
mkd,Cyrl,mkd_Cyrl,Macedonian,С,Lu,CYRILLIC CAPITAL LETTER ES,20792382,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",35752,76206,63271,287267,1348966,1708789,2238711,2867171,3774273,3268166,3604125,1519685
mkd,Cyrl,mkd_Cyrl,Macedonian,e,Ll,LATIN SMALL LETTER E,18691814,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",82793,134530,112326,250319,1098124,1217092,1739305,2127142,3437823,3490034,3837955,1164371
mkd,Cyrl,mkd_Cyrl,Macedonian,0,Nd,DIGIT ZERO,17612726,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",38213,80529,66023,224917,1152315,1447087,1770805,2493527,3272663,2804077,3047973,1214597
mkd,Cyrl,mkd_Cyrl,Macedonian,П,Lu,CYRILLIC CAPITAL LETTER PE,15614834,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27011,61265,50125,197342,939663,1268592,1678745,2094073,2813492,2525412,2774618,1184496
mkd,Cyrl,mkd_Cyrl,Macedonian,М,Lu,CYRILLIC CAPITAL LETTER EM,15486988,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27275,58427,45669,232067,1106727,1423984,1720324,2152628,2769635,2341896,2531104,1077252
mkd,Cyrl,mkd_Cyrl,Macedonian,a,Ll,LATIN SMALL LETTER A,15212079,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",71112,130198,100520,213748,1001048,1064231,1421600,1710157,2719118,2711128,3105103,964116
mkd,Cyrl,mkd_Cyrl,Macedonian,1,Nd,DIGIT ONE,14542905,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",34429,73676,65074,185217,998088,1274384,1504066,2014400,2796349,2332643,2339639,924940
mkd,Cyrl,mkd_Cyrl,Macedonian,o,Ll,LATIN SMALL LETTER O,14047392,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",65529,106515,85896,181946,895103,994152,1376186,1679603,2535154,2494400,2782220,850688
mkd,Cyrl,mkd_Cyrl,Macedonian,Н,Lu,CYRILLIC CAPITAL LETTER EN,13646342,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",28875,56352,43183,172560,858664,1127152,1445498,1849647,2412041,2204179,2445953,1002238
mkd,Cyrl,mkd_Cyrl,Macedonian,-,Pd,HYPHEN-MINUS,13271347,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",35763,69006,55371,144798,808388,1215883,1490028,1925348,2509128,2118447,2118134,781053
mkd,Cyrl,mkd_Cyrl,Macedonian,В,Lu,CYRILLIC CAPITAL LETTER VE,13070152,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",24238,54369,45005,173309,799121,1084099,1433273,1887389,2378826,2054721,2221056,914746
mkd,Cyrl,mkd_Cyrl,Macedonian,А,Lu,CYRILLIC CAPITAL LETTER A,12982967,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",31326,57623,43711,178350,887779,1101325,1366131,1708655,2279758,2121232,2297010,910067
mkd,Cyrl,mkd_Cyrl,Macedonian,2,Nd,DIGIT TWO,12905416,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",26574,52969,45730,144884,783622,1006971,1209664,1741276,2405731,2168112,2360889,958994
mkd,Cyrl,mkd_Cyrl,Macedonian,i,Ll,LATIN SMALL LETTER I,12500586,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",59143,100918,81108,174816,776751,856161,1139379,1342110,2301347,2290116,2587190,791547
mkd,Cyrl,mkd_Cyrl,Macedonian,К,Lu,CYRILLIC CAPITAL LETTER KA,12472388,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",22561,46720,39125,157814,754457,980793,1308293,1698959,2286554,2045866,2209032,922214
mkd,Cyrl,mkd_Cyrl,Macedonian,О,Lu,CYRILLIC CAPITAL LETTER O,12279442,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",27830,52001,40569,153678,768262,965673,1273691,1626590,2180602,2003495,2244594,942457
mkd,Cyrl,mkd_Cyrl,Macedonian,t,Ll,LATIN SMALL LETTER T,11503581,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",57529,84433,71183,164186,723347,758266,1022268,1237329,2061766,2212612,2390173,720489
mkd,Cyrl,mkd_Cyrl,Macedonian,Д,Lu,CYRILLIC CAPITAL LETTER DE,11188960,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19814,41892,31562,146128,702048,890807,1187378,1564565,2019983,1771185,1966564,847034
mkd,Cyrl,mkd_Cyrl,Macedonian,n,Ll,LATIN SMALL LETTER N,11076038,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",48762,82640,68007,156759,675511,748689,1020632,1183779,2054053,2057474,2289658,690074
mkd,Cyrl,mkd_Cyrl,Macedonian,r,Ll,LATIN SMALL LETTER R,10725742,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",45045,73691,63680,140962,645914,709725,977985,1175298,1934382,2009947,2250711,698402
mkd,Cyrl,mkd_Cyrl,Macedonian,И,Lu,CYRILLIC CAPITAL LETTER I,10478431,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",25650,43554,32259,138863,689032,844882,1064431,1377354,1885719,1690876,1907353,778458
mkd,Cyrl,mkd_Cyrl,Macedonian,Т,Lu,CYRILLIC CAPITAL LETTER TE,10433379,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23571,42594,32018,139007,703138,880790,1141333,1413172,1854950,1660703,1809263,732840
mkd,Cyrl,mkd_Cyrl,Macedonian,х,Ll,CYRILLIC SMALL LETTER HA,9694313,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15728,39189,33156,119159,592294,804961,1093940,1379110,1731297,1531727,1674899,678853
mkd,Cyrl,mkd_Cyrl,Macedonian,s,Ll,LATIN SMALL LETTER S,9285908,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",44260,69743,58469,129337,563292,606693,822922,1002221,1714098,1794694,1904703,575476
mkd,Cyrl,mkd_Cyrl,Macedonian,Б,Lu,CYRILLIC CAPITAL LETTER BE,8991453,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15205,32179,25889,115168,588250,752621,932438,1207803,1681471,1453117,1546289,641023
mkd,Cyrl,mkd_Cyrl,Macedonian,“,Pi,LEFT DOUBLE QUOTATION MARK,8879580,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9590,22019,17925,108771,544842,738515,991353,1238345,1677126,1403557,1509926,617611
mkd,Cyrl,mkd_Cyrl,Macedonian,„,Ps,DOUBLE LOW-9 QUOTATION MARK,8423001,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7910,19415,15891,101787,520090,702020,934574,1160819,1588529,1348078,1431620,592268
mkd,Cyrl,mkd_Cyrl,Macedonian,Е,Lu,CYRILLIC CAPITAL LETTER IE,8242762,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20342,34799,26320,109136,544148,664233,849518,1088171,1492272,1340428,1476089,597306
mkd,Cyrl,mkd_Cyrl,Macedonian,Р,Lu,CYRILLIC CAPITAL LETTER ER,8008888,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15306,32466,26119,110368,527813,696904,869070,1066381,1399717,1305942,1389483,569319
mkd,Cyrl,mkd_Cyrl,Macedonian,ѓ,Ll,CYRILLIC SMALL LETTER GJE,7620200,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13314,25007,22053,116744,522230,637380,815011,1065315,1411494,1189227,1274851,527574
mkd,Cyrl,mkd_Cyrl,Macedonian,l,Ll,LATIN SMALL LETTER L,7354650,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",31589,50576,43486,86599,438090,482246,661826,789964,1334952,1363205,1568025,504092
mkd,Cyrl,mkd_Cyrl,Macedonian,:,Po,COLON,6759501,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",14928,33909,26229,62913,419243,604603,669545,853811,1216381,1110832,1215535,531572
mkd,Cyrl,mkd_Cyrl,Macedonian,З,Lu,CYRILLIC CAPITAL LETTER ZE,6569731,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11463,22089,17922,76058,375804,511450,721810,941858,1250785,1048857,1106350,485285
mkd,Cyrl,mkd_Cyrl,Macedonian,3,Nd,DIGIT THREE,5644187,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12572,25958,21341,69231,351673,451557,580568,780212,1017998,870067,1050301,412709
mkd,Cyrl,mkd_Cyrl,Macedonian,Г,Lu,CYRILLIC CAPITAL LETTER GHE,5641223,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10680,21936,18993,84027,386143,498030,614529,757305,1000314,875118,968568,405580
mkd,Cyrl,mkd_Cyrl,Macedonian,5,Nd,DIGIT FIVE,5548571,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10539,23176,23594,70212,343984,441196,553661,759019,1034088,901913,978009,409180
mkd,Cyrl,mkd_Cyrl,Macedonian,d,Ll,LATIN SMALL LETTER D,5226476,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",26154,45399,36062,75449,329421,351097,470221,555011,951836,970638,1091716,323472
mkd,Cyrl,mkd_Cyrl,Macedonian,c,Ll,LATIN SMALL LETTER C,5203037,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",20553,32341,28563,61139,319574,354810,470154,560546,905381,980403,1125785,343788
mkd,Cyrl,mkd_Cyrl,Macedonian,m,Ll,LATIN SMALL LETTER M,5037375,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",21179,40086,30507,60090,304397,342008,464491,602006,922830,911072,1033672,305037
mkd,Cyrl,mkd_Cyrl,Macedonian,u,Ll,LATIN SMALL LETTER U,5002149,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",22454,34413,30483,66724,306209,336161,451052,535270,909863,919850,1065406,324264
mkd,Cyrl,mkd_Cyrl,Macedonian,),Pe,RIGHT PARENTHESIS,4862610,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11957,29208,28998,58243,275143,399214,544598,678570,894643,797481,822723,321832
mkd,Cyrl,mkd_Cyrl,Macedonian,h,Ll,LATIN SMALL LETTER H,4804495,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",23158,27959,26265,61314,300560,313158,440819,521370,878061,967859,961961,282011
mkd,Cyrl,mkd_Cyrl,Macedonian,(,Ps,LEFT PARENTHESIS,4763011,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11690,28365,28525,56429,265282,390875,533236,669963,876064,776569,807622,318391
mkd,Cyrl,mkd_Cyrl,Macedonian,4,Nd,DIGIT FOUR,4607913,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9437,25299,18628,59763,290154,363139,438969,637768,862157,736915,787072,378612
mkd,Cyrl,mkd_Cyrl,Macedonian,9,Nd,DIGIT NINE,4484132,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",10731,26008,25430,56868,269339,335865,493205,673711,892996,714536,693329,292114
mkd,Cyrl,mkd_Cyrl,Macedonian,У,Lu,CYRILLIC CAPITAL LETTER U,4156920,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7297,13447,10046,55472,258030,322081,404399,498921,685885,719462,828651,353229
mkd,Cyrl,mkd_Cyrl,Macedonian,Л,Lu,CYRILLIC CAPITAL LETTER EL,3977806,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8516,17871,14915,47731,247982,318262,416424,531085,703688,649615,726524,295193
mkd,Cyrl,mkd_Cyrl,Macedonian,p,Ll,LATIN SMALL LETTER P,3918220,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19792,30484,23979,48138,231939,252495,357805,440188,710638,736748,824778,241236
mkd,Cyrl,mkd_Cyrl,Macedonian,–,Pd,EN DASH,3810260,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2313,6903,5356,37576,165665,272183,388304,542456,767763,628282,699063,294396
mkd,Cyrl,mkd_Cyrl,Macedonian,8,Nd,DIGIT EIGHT,3549856,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7738,18554,17649,44627,221259,344844,373182,479289,643630,562320,588370,248394
mkd,Cyrl,mkd_Cyrl,Macedonian,6,Nd,DIGIT SIX,3515735,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6996,16772,15614,51486,234896,289769,350656,484707,655042,558566,603123,248108
mkd,Cyrl,mkd_Cyrl,Macedonian,7,Nd,DIGIT SEVEN,3344574,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6527,15943,14795,42270,260107,299107,352947,452834,608629,520611,544461,226343
mkd,Cyrl,mkd_Cyrl,Macedonian,Ф,Lu,CYRILLIC CAPITAL LETTER EF,3344311,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5504,12814,10990,45117,222496,285744,368601,477542,642921,512773,539293,220516
mkd,Cyrl,mkd_Cyrl,Macedonian,g,Ll,LATIN SMALL LETTER G,3271113,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",15905,24093,19824,41270,201439,229147,308585,365307,591649,605282,666623,201989
mkd,Cyrl,mkd_Cyrl,Macedonian,Ј,Lu,CYRILLIC CAPITAL LETTER JE,3175041,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7507,14257,10987,45353,227228,276442,381348,448532,558969,487473,508113,208832
mkd,Cyrl,mkd_Cyrl,Macedonian,k,Ll,LATIN SMALL LETTER K,2579284,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",13438,28278,19885,38114,168001,197936,268865,331033,440745,413279,502856,156854
mkd,Cyrl,mkd_Cyrl,Macedonian,|,Sm,VERTICAL LINE,2564816,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",19413,35242,45978,46534,269671,229829,259331,313060,377490,410783,507683,49802
mkd,Cyrl,mkd_Cyrl,Macedonian,y,Ll,LATIN SMALL LETTER Y,2527732,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11209,13504,12661,25891,139173,168298,230443,278370,482838,477455,519510,168380
mkd,Cyrl,mkd_Cyrl,Macedonian,Х,Lu,CYRILLIC CAPITAL LETTER HA,2482514,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4840,10366,9226,38329,176844,224093,271426,350107,451201,381743,394051,170288
mkd,Cyrl,mkd_Cyrl,Macedonian,b,Ll,LATIN SMALL LETTER B,2449046,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",11793,18438,15237,31326,137650,154657,214858,262198,498671,424597,529372,150249
mkd,Cyrl,mkd_Cyrl,Macedonian,S,Lu,LATIN CAPITAL LETTER S,2385843,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7121,12433,12014,24906,157227,185235,229023,260715,405255,398015,512342,181557
mkd,Cyrl,mkd_Cyrl,Macedonian,f,Ll,LATIN SMALL LETTER F,2349779,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9226,14149,12790,28742,137080,148928,201703,248767,430020,478803,497873,141698
mkd,Cyrl,mkd_Cyrl,Macedonian,Ц,Lu,CYRILLIC CAPITAL LETTER TSE,2261981,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4415,9251,7096,28045,140425,185381,232368,297048,427863,364417,395869,169803
mkd,Cyrl,mkd_Cyrl,Macedonian,A,Lu,LATIN CAPITAL LETTER A,2232879,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5324,11903,10693,24566,158403,167237,212493,243205,418354,369364,459293,152044
mkd,Cyrl,mkd_Cyrl,Macedonian,Ш,Lu,CYRILLIC CAPITAL LETTER SHA,2186457,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4480,7909,6967,29430,142912,176771,232596,306475,413177,349466,367424,148850
mkd,Cyrl,mkd_Cyrl,Macedonian,w,Ll,LATIN SMALL LETTER W,2158871,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",9891,12776,11593,26441,140989,152805,182254,236833,395572,418927,437941,132849
mkd,Cyrl,mkd_Cyrl,Macedonian,?,Po,QUESTION MARK,2090384,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",7071,10557,5957,20116,138743,161338,240722,298241,371244,336308,360073,140014
mkd,Cyrl,mkd_Cyrl,Macedonian,v,Ll,LATIN SMALL LETTER V,2072817,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",12880,25826,18760,38032,141167,148654,193679,238181,394759,350908,389176,120795
mkd,Cyrl,mkd_Cyrl,Macedonian,C,Lu,LATIN CAPITAL LETTER C,2015087,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4637,9296,9908,21829,129426,143506,188489,220428,324681,347287,459173,156427
mkd,Cyrl,mkd_Cyrl,Macedonian,/,Po,SOLIDUS,1869505,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",8437,12195,10471,16995,118479,151357,173822,212717,310178,314651,390292,149911
mkd,Cyrl,mkd_Cyrl,Macedonian,M,Lu,LATIN CAPITAL LETTER M,1856859,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",6006,9589,9143,20939,159081,166841,191231,197994,302204,296769,366066,130996
mkd,Cyrl,mkd_Cyrl,Macedonian,!,Po,EXCLAMATION MARK,1740651,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4637,10471,6721,15348,106898,127863,176900,228188,315172,290909,329720,127824
mkd,Cyrl,mkd_Cyrl,Macedonian,P,Lu,LATIN CAPITAL LETTER P,1729679,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4493,8585,8013,17162,110139,130437,178810,191175,291129,283292,370800,135644
mkd,Cyrl,mkd_Cyrl,Macedonian,T,Lu,LATIN CAPITAL LETTER T,1690298,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",5769,9037,9046,18360,114940,127826,167886,184566,271474,288776,362461,130157
mkd,Cyrl,mkd_Cyrl,Macedonian,I,Lu,LATIN CAPITAL LETTER I,1682546,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",4459,12742,11675,22494,121517,130835,156374,191892,308632,286064,320234,115628
mkd,Cyrl,mkd_Cyrl,Macedonian,џ,Ll,CYRILLIC SMALL LETTER DZHE,1658165,12,"2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2655,6055,5520,28898,127058,145670,179997,226557,280625,254294,281322,119514
